title,score,members,favorites
Hourou Musuko Specials,7.7,6066,2
Koi to Uso OVA,0.0,8329,9
Esper Mami: Hoshizora no Dancing Doll,6.16,311,1
Carol & Tuesday,0.0,1180,0
"Akai Shouzou: Char, Soshite Frontal e",6.24,1004,0
Gakkatsu! 2nd Season,6.5,1399,1
Tsuru no Sugomori,7.17,82,0
Selector Infected WIXOSS,7.36,101587,501
Hane (2016),5.68,186,0
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,6.28,20817,26
Bannou Bunka Neko-Musume Specials,6.61,1118,2
Ultra B,6.05,189,0
Saint☆Oniisan (Movie),7.94,43396,230
Makai Tenshi Djibril,6.58,6747,24
Supernatural The Animation,7.12,22360,55
Soukan Yuugi,6.81,5597,49
Andromeda Stories,5.97,1027,2
Houkago Initiation,6.34,2803,6
ACCA: 13-ku Kansatsu-ka,7.73,77826,539
Future GPX Cyber Formula: Early Days Renewal,6.48,406,0
Dennou Sentai Voogie&#039;s★Angel Gaiden: Susume! Super★Angels!,5.13,168,0
Gokuu no Daibouken,6.49,394,2
Kitty to Daniel no Suteki na Christmas,5.91,84,0
Alice to Zouroku,7.2,72634,147
Micchiri Neko,6.84,4052,6
Slayers,7.85,89198,1702
Seikaisuru Kado,7.01,72747,159
Dragon Ball Super,7.78,250101,4314
Genshiken Nidaime Specials,6.92,4981,0
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,6.28,1178,2
Shiro Hon,6.0,76,0
Yama no Susume,6.82,37639,65
Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,7.56,15385,437
Princess Principal,7.71,92722,609
Nyanpire The Animation,6.78,21460,83
Kira Kira 5th Anniversary Live Anime: Kick Start Generation,6.57,1599,3
Tenpou Ibun: Ayakashi Ayashi,7.0,12136,20
Pokopon no Yukai na Saiyuuki,5.85,77,0
Persona 4 the Animation,7.63,167555,1748
Fate/stay night Movie: Unlimited Blade Works,7.53,136486,732
Udauda Yatteru Hima wa Nee!,6.0,190,0
Boku dake no Hentai Kanojo The Animation,6.26,2284,10
Menghuan Xiyou,6.56,77,0
Luv Wave,6.09,1667,1
Lupin III: Seven Days Rhapsody,7.13,3091,2
Sidonia no Kishi 3,0.0,5801,24
Ski Jumping Pairs: Road to Torino 2006,4.89,268,2
Nazotoki-hime wa Meitantei♥,5.43,291,0
Thermae Romae x LOFT Collaboration,6.1,543,1
Fairy Tail,8.08,818652,37733
Marvel Future Avengers,5.09,1699,3
Chalk-iro no People,5.75,144,0
Super Seisyun Brothers,6.93,22259,36
Baku Ane: Otouto Shibocchau zo! The Animation,7.5,14009,225
Sei Shoujo The Animation,6.85,3062,15
Ryoujoku Guerrilla Kari 3,6.12,1658,7
Ore ga Kanojo wo *su Wake,7.5,112,5
Seto no Hanayome Fan Disc,7.18,5737,4
Momo Kyun Sword,5.66,23317,20
Bust to Bust: Chichi wa Chichi ni,6.77,5438,22
Onara Gorou,5.62,7543,27
A-Size Classmate,5.97,4375,23
Taikong Lixianji,5.67,131,1
Kono Minikuku mo Utsukushii Sekai,6.87,46881,164
Go! Go! 575,5.72,8804,3
Daybreak Interlude,7.12,771,0
Mezzo Forte,6.72,17853,66
Shirahata no Shoujo Ryuuko,7.05,170,0
Master Keaton,7.7,12673,68
Choujin Densetsu Urotsukidouji: Mirai-hen,5.94,2185,7
Shoujo kara Shoujo e...,7.04,3451,14
Angel&#039;s Feather,5.58,15962,30
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",6.9,16145,14
Platonic Chain: Ansatsu Jikkouchuu,3.6,140,0
Shugo Chara! Party!,6.71,48456,253
Devilman Memorial,5.97,608,1
Working&#039;!!,7.96,156252,386
Haikara-san ga Tooru,7.37,2036,7
Henbou Moral Hazard,4.67,710,1
Dolphin Ouji,5.48,179,0
Samayou Midara na Lunatics,6.45,2417,15
Pochacco no Jack to Mame no Ki,5.92,145,0
Nintama Rantarou Movie,6.64,331,2
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,6.84,59577,269
Meshimase Lodoss-tou Senki: Sorette Oishii no?,5.71,1573,2
Dragon Ball Specials,6.91,18357,30
Treasure Gaust,4.58,167,0
Ar:pieL - 6-seosgaeui Unmyeong,0.0,340,0
Petit Eva: Evangelion@School,5.91,17706,28
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,7.55,3045,8
Binan Koukou Chikyuu Boueibu LOVE!,7.05,56161,462
Tatamp,5.24,350,0
Gongnyong Baengmannyeon Ttori,4.14,108,0
Ghiblies,6.57,4283,3
WWW.Working!!,7.55,82352,213
Balloon,5.04,410,2
Girlfriend (Note),6.22,2513,0
Yamiyo no Jidaigeki,4.24,157,0
Shin Mitsubachi Maya no Bouken,6.39,1667,2
R.O.D the TV,7.61,53314,387
Mahou no Star Magical Emi: Finale! Finale!,6.06,192,0
Osamishi Tani no Wakare Uta,5.29,147,0
Kuroko no Basket: Baka ja Katenai no yo!,7.7,33879,44
Hacka Doll The Animation,6.51,27988,40
Dr. Slump: Arale-chan Specials,6.36,394,0
Ranma ½: 1994 Music Calendar,6.79,2142,1
Yami no Purple Eye,5.0,772,1
Anime Koukyoushi: Jungle Taitei,6.73,562,2
Akai Koudan Zillion: Utahime Yakyoku,6.01,690,1
Sore Ike! Anpanman: Kirakira Boshi no Namida,6.15,167,1
Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,5.21,248,0
Nezumi-kun no Chokki,5.57,77,0
Defend Love,6.0,1425,0
Apache Yakyuugun,6.07,395,1
Good Morning!!! Doronjo,5.7,230,0
Kiss x Sis (TV),6.97,291333,1153
Koto no Shidai,3.67,62,0
Ganbare! Marine Kid,5.48,196,0
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,7.53,21169,326
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,6.03,445,0
Tick Tock,4.25,49,0
Kanzen Mushusei: Sorezore no Houkago,5.46,707,1
Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,5.36,193,0
Yakin Byoutou Ni,6.3,3376,5
Tennis no Ouji-sama,8.01,107492,2833
Egao,6.66,10113,5
Raldessia Chronicles,5.38,188,0
Gunnm,7.22,29153,131
Velvet Underworld: Alternative,4.8,138,0
Ukkari Pénélope (2009),6.15,379,0
Akai Kiba: Blue Sonnet,6.09,1305,0
The Aurora: Umi no Aurora,5.28,188,0
Kami nomi zo Shiru Sekai: Natsu-iro Surprise,6.62,6931,5
Beat Shot!!,5.55,427,0
T7S Longing for Summer Again and Again: Harukaze,6.47,532,1
Detective Conan Movie 21: The Crimson Love Letter,7.89,9371,34
Kakko Kawaii Sengen!,5.73,771,1
Punky Funky Baby,4.82,331,0
Na mo Nai Hana no Youni,3.5,40,0
Mechakko Dotakon,6.48,182,0
Hello Kitty no Yume no Oshiro no Ouji-sama,5.93,132,0
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,7.32,4971,1
Raja Maharaja,4.87,216,0
Ranma ½: DoCo Music Video,7.04,2224,0
Umbrella Fighter!,3.92,42,0
Akai Jitensha,5.22,142,0
Zhan Long Si Qu,4.85,150,1
Tang Lang Bu Chan,5.75,223,1
To Heart 2 AD Plus,6.85,4230,8
Donna Donna,5.2,244,0
Gundress,5.59,2415,0
Ojamajo Doremi Dokkaan!,7.56,8061,85
Danna ga Nani wo Itteiru ka Wakaranai Ken,7.51,180124,569
Igano Kabamaru,8.07,6408,102
Mobile Suit Gundam Unicorn RE:0096,7.56,15577,65
Hataraku Maou-sama!,7.98,630486,6925
Shin Maple Town Monogatari: Palm Town-hen - Konnichiwa! Atarashii Machi,6.38,258,0
D.C.II S.S.: Da Capo II Second Season,7.33,23096,52
Kurogane no Linebarrels Picture Drama,5.95,337,0
Landscape,4.07,211,0
Only You: Viva! Cabaret Club,5.78,121,0
Bakuretsu Tenshi: Infinity,6.88,12750,15
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,7.49,47965,124
Dominion,7.03,9711,43
Darker than Black: Kuro no Keiyakusha,8.21,563076,14200
Teekyuu,6.71,42517,168
Aoi Bungaku Series,7.84,118834,1083
Glass no Kamen Desu ga to Z,5.88,435,0
Mofa Ya Ma,6.21,171,0
Natsuyuki Rendezvous,7.34,51051,179
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,7.3,6824,7
Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,6.09,445,0
Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya,5.91,2878,6
Mai-Otome Special: Otome no Inori,6.51,2335,3
Bakuretsu Hunters OVA,6.66,4283,7
Ontama!,6.9,1888,3
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7.93,212461,2548
Obake no Q-tarou,6.29,350,0
Mikan-Seijin,5.63,351,2
BOY&#039;s LOVE Nitro+CHiRAL,5.5,1632,2
Aachi wa Ssipak,6.82,6667,32
Xiao Yeyou,5.1,132,0
Balloon (Music),5.46,113,0
Douluo Dalu,7.68,1649,31
Ao no Exorcist Movie Special,7.14,25392,38
Kore ga UFO da! Soratobu Enban,4.85,693,1
Notari Matsutarou,5.91,353,1
Patalliro! Stardust Keikaku,6.84,565,0
Buta,6.5,6761,6
Soukou Kijo Iris,6.73,3792,34
Alice Tantei Kyoku,5.25,183,1
Arakawa Under the Bridge x Bridge,7.82,101713,346
Shoujo☆Kageki Revue Starlight,0.0,2094,3
Weiß Kreuz Glühen,6.68,7733,26
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,7.85,35288,42
Reideen,6.63,6447,7
Tenchi Muyou! Ryououki 3rd Season Picture Drama,6.4,220,0
Yuuto-kun ga Iku Movie,4.88,92,0
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,7.1,1041,4
Shin Strange+ Special,6.01,1354,0
Joukyou Monogatari,5.75,162,0
School Days,6.02,361605,2420
Gaist Crusher,5.91,1578,2
Initial D Fourth Stage,8.24,64574,588
Kagee Grimm Douwa,6.42,183,0
Ningyohime Marina no Bouken,6.46,1068,4
Aru Zombie Shoujo no Sainan,4.78,604,1
Hetalia Axis Powers,7.68,173776,5040
Mugen Kouro,5.13,965,1
Wind: A Breath of Heart (TV),6.08,8735,5
Pochacco no Wakuwaku Birthday,6.05,122,0
Mahoutsukai Tai! vs. Shamanic Princess,6.41,979,4
Kitty-chan wo Sagase! Toyama-shi Stamp Rally,4.42,144,0
Yousei Dick,5.5,248,3
Kachikachi Yama (1940),7.11,96,1
Ultra B: Black Hole kara no Dokusaisha BB!!,5.8,111,0
Biohazard 4D-Executer,5.63,2947,3
Brave Witches: Petersburg Daisenryaku,7.0,5183,10
Ginga Tetsudou 999: Glass no Clair,6.68,1473,2
Osiris no Tenbin: Season 2,5.7,350,0
Toaru Majutsu no Index-tan II,7.09,24742,38
Takarajima,8.09,8376,114
Gundam Build Fighters: GM no Gyakushuu,7.29,4274,3
Urusei Yatsura Movie 2: Beautiful Dreamer,7.87,7811,116
Kaette Kite yoo Toyama kara,4.54,119,0
Digital Juice,5.56,4489,0
Show By Rock!!: Plasmagica na Gogo,5.85,956,3
Kuragehime: Eiyuu Retsuden☆,6.65,11220,8
Hikaru Genji: Paradise Ginga,5.14,141,0
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,6.45,4104,2
Tamayura: Sotsugyou Shashin Part 3 - Akogare,7.87,4550,6
Saimin Jutsu Zero Special,5.97,1130,1
Saint Seiya: Tenkai-hen Josou - Overture,7.36,14376,28
One Piece Movie 1,7.22,57451,239
Jungle Taitei Leo: Hon-o-ji,6.36,287,2
Minna no Doutoku,7.6,64,0
Donguri to Yamaneko (1995),4.43,90,0
Ergo Proxy,7.99,342724,8663
Doraemon Movie 13: Nobita to Kumo no Oukoku,7.37,2473,3
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,7.16,2371,4
Windaria,6.67,5842,15
Kizuna Ichigeki,6.64,4767,1
xxxHOLiC Shunmuki,8.15,47208,94
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.87,74830,1395
Choujuushin Gravion Zwei,6.71,6483,12
Mo Dao Zu Shi,0.0,1276,12
Inmu Gakuen: Inmu ni Torawareta Bijin Shimai,6.2,2210,1
Inyouchuu The Animation,6.51,4268,38
Hakimono to Kasa no Monogatari,5.61,167,0
Xingji Biaoche Wang,5.23,93,0
Berserk: Ougon Jidai-hen I - Haou no Tamago,7.88,108779,495
Dragon Ball Z Movie 14: Kami to Kami,7.57,95471,165
Wasure-boshi,5.68,603,0
Shadow Skill: Eigi,7.2,9299,59
Kiki to Lala no Papa to Mama ni Aitai,5.11,132,1
Wanwan Sanjuushi,6.76,1629,7
Taiheiyou ni Kakeru Niji,5.26,122,0
Konchuu Monogatari Minashigo Hutch (1989),6.45,607,0
Guin Saga,7.25,31446,100
Kuroshitsuji II,7.48,300154,3587
Amai Choubatsu: Watashi wa Kanshu Senyou Pet,5.26,8117,28
E&#039;s Otherwise,6.71,12960,27
Watashi ga Toriko ni Natte Yaru,6.97,4099,26
Code Geass: Hangyaku no Lelouch I - Koudou,8.18,28352,87
Area 88,7.64,9191,138
Natsumi Step!,5.06,185,0
Egomama,7.16,1902,1
Sakura Internet,5.77,3152,1
Rakushou! Hyper Doll,5.76,1214,0
Highschool of the Dead: Drifters of the Dead,6.75,176439,300
Juuou Mujin no Fafnir,6.43,87328,116
Ristorante Paradiso,7.45,28032,124
SOS TV Walpurgis Night Fever,5.72,509,0
Dragon Quest: Dai no Daibouken (1991),6.81,1057,2
Smile Precure!,7.2,14616,203
Katsugeki/Touken Ranbu,6.8,72818,287
Hunter x Hunter (2011),9.11,720920,64375
Lovedol: Lovely Idol OVA,6.28,1361,1
Non Non Biyori Repeat,8.23,92898,855
Yagami-kun no Katei no Jijou,6.35,876,5
Natsume Yuujinchou Go,8.64,80448,459
Slow Step,6.73,1642,0
Kijutsushi x Majutsushi: Osaka Tanteibu no Jikenbo,4.99,614,0
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.14,14220,32
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation,6.37,3972,25
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.77,121450,1926
Pulsar,5.42,173,0
Hikenai Guitar wo Hikundaze,5.3,336,0
Rozen Maiden,7.53,148187,1894
Akuma to Himegimi,4.44,181,1
Super Speed,5.73,818,1
Phantom: Requiem for the Phantom,8.11,201912,3688
Futari Ecchi,6.49,23492,33
Kyoto Animation: Hana-hen,5.8,3012,0
Initial D Battle Stage,7.64,18012,56
Cheburashka Arere?,6.52,2646,1
Devil May Cry,7.11,203008,1506
Ihatov Gensou: Kenji no Haru,7.34,4626,21
Manga Kotowaja Jiten,6.38,87,0
Chuumon no Ooi Ryouriten (1991),6.29,2990,2
Hyakka Ryouran: Samurai Girls,6.95,120462,257
Hanayamata,7.38,71644,289
3D Kanojo: Real Girl,6.9,65420,135
Harmony,7.1,37433,178
Jungle wa Itsumo Hare nochi Guu Deluxe,7.91,9670,25
Mai-HiME: Kuro no Mai/Saigo no Bansan,6.83,4595,4
Sensou no Tsukurikata,6.36,223,0
Injuu Daikessen,5.32,848,1
Juusen Battle Monsuno,6.52,2957,7
Slow Start: Web Yokoku Movie,6.03,1604,1
Tibet Inu Monogatari,7.45,3546,9
Charady no Joke na Mainichi,5.36,1791,1
Still,5.9,350,0
Kikou Senki Dragonar,6.81,2630,7
Hetalia: The World Twinkle Specials,7.51,4129,15
Naki no Ryuu: Hiryuu no Shou (1991),4.33,70,0
W&#039;z,0.0,513,0
Soul Reviver,5.29,436,0
Kokekkou-san,5.43,68,0
Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,7.1,4317,15
Gin no Saji 2nd Season,8.33,87685,448
Uma Musume: Pretty Derby (TV),7.2,31678,85
Kokoro Toshokan: Communication Clips,5.89,523,0
Kokoro Toshokan,6.56,4344,14
Soukyuu no Fafner: Right of Left - Single Program,7.48,10833,23
Armageddon,4.03,1000,2
The Perfect World,7.84,3044,14
Idol Project,5.81,1206,3
New Initial D Movie: Legend 3 - Mugen,7.92,7566,23
Seikai no Danshou: Tanjou,7.26,6106,10
Shingeki no Kyojin Movie 3: Kakusei no Houkou,7.8,22845,49
Ikoku na Retro,6.35,2154,4
Detective Conan Movie 11: Jolly Roger in the Deep Azure,7.61,24237,11
Hitoriga The Animation,6.48,3937,9
Phantasm,3.67,129,0
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",6.69,45376,180
Jiaoao de Jiangjun,5.68,178,0
Oi! Ryouma,6.75,247,0
An Ling Yu Shi Di Qi,6.19,264,0
Appare! Momotarou no Koutsuu Anzen,5.67,37,0
Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,6.91,4048,15
Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!,6.71,3926,1
Ore no Imouto ga Konnani Kawaii Wake ga Nai,7.34,419349,4188
Futari wa Precure: Splash☆Star Movie - Tick Tack Kiki Ippatsu!,6.91,2899,4
Houkago no Ouji-sama,7.08,1708,7
Iruka to Shounen,4.87,162,0
Yamato Nadeshiko Shichihenge♥,7.86,106612,2193
Shirouto Kurabu,4.64,318,0
Koala Boy Kokki,6.27,447,1
Shin Choujin Densetsu Urotsukidouji Mataiden,6.02,1010,2
Aa! Megami-sama!: Sorezore no Tsubasa,7.66,48328,163
Hakata Tonkotsu Ramens,7.56,69028,235
Monster Farm: Enbanseki no Himitsu,6.89,27404,62
Kono Aozora ni Yakusoku wo: Youkoso Tsugumi Ryou e,6.3,15125,16
Manga Revue Haru,5.26,113,0
Blame! Special,5.47,5687,3
Shounen Santa no Daibouken!,6.14,168,1
Abarenbou Rikishi!! Matsutarou,6.16,6517,10
Shingeki no Kyojin Picture Drama,6.73,32815,54
Kaze no Kokyuu: Animation ni Yoru Oufuku Shokan,4.39,236,0
Usagi no Matthew,4.57,281,0
Dokkiri Doctor,6.57,593,2
Kuchao,4.78,357,0
Katte ni Shirokuma,5.67,164,0
Kizuna,6.42,7815,18
Ma ga Ochiru Yoru,6.57,3254,21
Oshiri Kajiri Mushi (TV) 4th Season,5.5,336,1
Minami-ke Okaeri,7.63,51282,62
Itazura Tenshi Chippo-chan,6.32,129,1
Fate/Extra: Last Encore - Irusterias Tendouron,0.0,6265,4
Usavich,7.09,5250,20
Jikuu Tantei Genshi-kun,6.37,6435,15
Hyakka Ryouran: Samurai Bride Specials,6.7,8234,3
Ryuu Seiki,5.79,1195,2
Toushin Toshi II,5.84,796,0
Pikotarou no Lullaby Lullaby,5.32,1012,2
Saru Masamune,5.43,915,0
Jungle Taitei Movie (1997),7.18,2242,12
Omakase Scrappers,6.69,135,0
Rio: Rainbow Gate!,5.97,26935,29
Romantica Clock,5.8,10065,7
Meiji x Kokosake & anohana Receipt Oubo Campaign,5.61,4694,6
Urusei Yatsura Movie 6: Itsudatte My Darling,6.99,3398,1
Aru Hi Inu no Kuni kara Tegami ga Kite,6.63,1882,3
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,6.66,6863,19
JK to Ero Giin Sensei,6.74,3819,11
Pikkoman no Kichikumichi: Mayonaka no Milk Party,5.25,932,0
Code Geass: Hangyaku no Lelouch R2 Picture Drama,7.21,26531,131
Chou Seimeitai Transformers Beast Wars Metals: Convoy Daihenshin!,6.0,489,2
Kaidan,4.98,409,0
Gregorio,5.71,182,0
Megami Tantei Vinus File,5.52,560,1
Puyo Puyo: Madou Monogatari,6.45,258,1
Meisou! Underworld,5.77,1743,0
Azure Nihon Data Center,5.05,672,0
Keroro Gunsou: KeroZero Shupattsudayo! Zeninshuugou!,7.16,938,0
Alps no Shoujo Heidi: Alm no Yama-hen,6.58,925,1
Kono Subarashii Sekai ni Shukufuku wo! OVA,7.86,120509,202
Qin Shi Ming Yue: Bai Bu Fei Jian,6.68,1653,11
Sanrio Anime Sekai Meisaku Gekijou,6.33,776,0
Tight-rope,7.25,25742,71
Lao Fu Zi Shui Hu Chuan,7.22,130,0
Di Gi Charat: Hoshi no Tabi,6.71,2254,2
Soliton no Akuma,6.06,540,0
Wagamama☆Fairy Mirumo de Pon!,7.43,10915,111
The Snack World,4.92,171,0
Manichi ga Tsurai Kimochi Wakarimasu ka: Yurusenai! Net Ijime,10.0,29,0
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.26,55184,660
Nyuru Nyuru!! Kakusen-kun 2nd Season,5.35,226,0
Hi no Youjin,6.37,4773,1
Sister Princess: Re Pure,6.33,6526,11
Kaijuu no Ballad,4.86,330,0
Ulysses 31 Pilot,5.94,330,0
Seishoujo Kantai Virgin Fleet,5.36,1171,0
Chicchana Yukitsukai Sugar,7.16,16764,114
Mai-Otome Zwei,7.34,15788,25
Master Keaton OVA,7.88,4421,5
Konchuu Monogatari Tentoumu Chu! to Mitsubachi Hatsu Chu!,5.0,125,0
Matsubara-kun: Mackie E no Ouen Message,3.16,88,0
Hello Kitty no Nemureru Mori no Bijo,6.42,229,0
