title,type,source,episodes,airing,studio
Darker than Black: Kuro no Keiyakusha,TV,Original,25,False,Bones
Teekyuu,TV,Manga,12,False,MAPPA
Aoi Bungaku Series,TV,Novel,12,False,Madhouse
Glass no Kamen Desu ga to Z,TV,Unknown,14,False,DLE
Mofa Ya Ma,Movie,Unknown,1,False,
Natsuyuki Rendezvous,TV,Manga,11,False,Doga Kobo
Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,Movie,Original,1,False,Sunrise
Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,OVA,Light novel,1,False,Studio Pierrot
Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya,OVA,Unknown,1,False,
Mai-Otome Special: Otome no Inori,Special,Original,1,False,Sunrise
Bakuretsu Hunters OVA,OVA,Manga,3,False,Xebec
Ontama!,ONA,Manga,5,False,Encourage Films
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),TV,Light novel,12,False,Lerche
Obake no Q-tarou,TV,Unknown,96,False,Shin-Ei Animation
Mikan-Seijin,TV,Unknown,26,False,
BOY&#039;s LOVE Nitro+CHiRAL,ONA,Game,5,False,
Aachi wa Ssipak,Movie,Unknown,1,False,
Xiao Yeyou,ONA,Other,1,False,
Balloon (Music),Music,Music,1,False,
Douluo Dalu,ONA,Novel,26,True,Sparkly Key Animation Studio
Ao no Exorcist Movie Special,Special,Unknown,1,False,
Kore ga UFO da! Soratobu Enban,Movie,Original,1,False,Toei Animation
Notari Matsutarou,OVA,Unknown,10,False,
Patalliro! Stardust Keikaku,Movie,Unknown,1,False,Toei Animation
Buta,Movie,Unknown,1,False,Telecom Animation Film
Soukou Kijo Iris,OVA,Visual novel,4,False,
Alice Tantei Kyoku,TV,Original,56,False,
Arakawa Under the Bridge x Bridge,TV,Manga,13,False,Shaft
Shoujo☆Kageki Revue Starlight,TV,Original,0,False,Kinema Citrus
Weiß Kreuz Glühen,TV,Unknown,13,False,ufotable
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,Movie,Light novel,1,False,A.C.G.T.
Reideen,TV,Unknown,26,False,Production I.G
Tenchi Muyou! Ryououki 3rd Season Picture Drama,Special,Original,5,False,
Yuuto-kun ga Iku Movie,Movie,Unknown,1,False,Shirogumi
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,OVA,Manga,2,False,Toei Animation
Shin Strange+ Special,Special,Manga,1,False,Seven
Joukyou Monogatari,Movie,Unknown,1,False,
School Days,TV,Visual novel,12,False,TNK
Gaist Crusher,TV,Game,51,False,Studio Pierrot
Initial D Fourth Stage,TV,Manga,24,False,A.C.G.T.
Kagee Grimm Douwa,TV,Unknown,52,False,
Ningyohime Marina no Bouken,TV,Unknown,26,False,Telescreen BV
Aru Zombie Shoujo no Sainan,Special,Light novel,1,False,
Hetalia Axis Powers,ONA,Web manga,52,False,Studio Deen
Mugen Kouro,ONA,Game,4,False,Gonzo
Wind: A Breath of Heart (TV),TV,Visual novel,13,False,Radix
Pochacco no Wakuwaku Birthday,OVA,Unknown,1,False,
Mahoutsukai Tai! vs. Shamanic Princess,OVA,Unknown,1,False,
Kitty-chan wo Sagase! Toyama-shi Stamp Rally,ONA,Other,1,False,DLE
Yousei Dick,TV,Unknown,26,False,
Kachikachi Yama (1940),Movie,Other,1,False,
Ultra B: Black Hole kara no Dokusaisha BB!!,Movie,Manga,1,False,Shin-Ei Animation
Biohazard 4D-Executer,Special,Game,1,False,
Brave Witches: Petersburg Daisenryaku,Special,Original,1,False,Silver Link.
Ginga Tetsudou 999: Glass no Clair,Movie,Manga,1,False,Toei Animation
Osiris no Tenbin: Season 2,ONA,Original,11,False,
Toaru Majutsu no Index-tan II,Special,Unknown,2,False,J.C.Staff
Takarajima,TV,Novel,26,False,Madhouse
Gundam Build Fighters: GM no Gyakushuu,ONA,Original,1,False,Sunrise
Urusei Yatsura Movie 2: Beautiful Dreamer,Movie,Manga,1,False,Studio Pierrot
Kaette Kite yoo Toyama kara,ONA,Original,4,False,DLE
Digital Juice,OVA,Unknown,6,False,Studio 4°C
Show By Rock!!: Plasmagica na Gogo,ONA,Game,3,False,
Kuragehime: Eiyuu Retsuden☆,Special,Manga,4,False,Brain&#039;s Base
Hikaru Genji: Paradise Ginga,Music,Music,1,False,
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,OVA,Manga,1,False,
Tamayura: Sotsugyou Shashin Part 3 - Akogare,Movie,Original,1,False,TYO Animations
Saimin Jutsu Zero Special,Special,Visual novel,1,False,
Saint Seiya: Tenkai-hen Josou - Overture,Movie,Unknown,1,False,Toei Animation
One Piece Movie 1,Movie,Manga,1,False,Toei Animation
Jungle Taitei Leo: Hon-o-ji,Movie,Manga,1,False,
Minna no Doutoku,OVA,Unknown,6,False,
Donguri to Yamaneko (1995),OVA,Book,1,False,
Ergo Proxy,TV,Original,23,False,Manglobe
Doraemon Movie 13: Nobita to Kumo no Oukoku,Movie,Unknown,1,False,
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,Movie,Card game,1,False,J.C.Staff
Windaria,Movie,Original,1,False,
Kizuna Ichigeki,Movie,Unknown,1,False,Ascension
xxxHOLiC Shunmuki,OVA,Manga,2,False,Production I.G
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,Manga,12,False,Studio Deen
Choujuushin Gravion Zwei,TV,Original,12,False,Gonzo
Mo Dao Zu Shi,ONA,Novel,0,False,G.CMay Animation &amp; Film
Inmu Gakuen: Inmu ni Torawareta Bijin Shimai,OVA,Visual novel,1,False,
Inyouchuu The Animation,OVA,Visual novel,2,False,Suzuki Mirano
Hakimono to Kasa no Monogatari,Music,Original,1,False,
Xingji Biaoche Wang,TV,Original,52,False,
Berserk: Ougon Jidai-hen I - Haou no Tamago,Movie,Manga,1,False,Studio 4°C
Dragon Ball Z Movie 14: Kami to Kami,Movie,Manga,1,False,Toei Animation
Wasure-boshi,ONA,Unknown,1,False,
Shadow Skill: Eigi,TV,Unknown,26,False,Studio Deen
Kiki to Lala no Papa to Mama ni Aitai,OVA,Unknown,1,False,
Wanwan Sanjuushi,TV,Unknown,26,False,Nippon Animation
Taiheiyou ni Kakeru Niji,OVA,Unknown,1,False,Toei Animation
Konchuu Monogatari Minashigo Hutch (1989),TV,Unknown,55,False,Tatsunoko Production
Guin Saga,TV,Light novel,26,False,Satelight
Kuroshitsuji II,TV,Manga,12,False,A-1 Pictures
Amai Choubatsu: Watashi wa Kanshu Senyou Pet,TV,Web manga,0,True,Magic Bus
E&#039;s Otherwise,TV,Manga,26,False,Studio Pierrot
Watashi ga Toriko ni Natte Yaru,OVA,Manga,2,False,
Code Geass: Hangyaku no Lelouch I - Koudou,Movie,Original,1,False,Sunrise
Area 88,OVA,Manga,3,False,Studio Pierrot
Natsumi Step!,Music,Original,1,False,
Egomama,Music,Unknown,1,False,
Sakura Internet,ONA,Original,1,False,White Fox
Rakushou! Hyper Doll,OVA,Manga,2,False,
Highschool of the Dead: Drifters of the Dead,OVA,Manga,1,False,Madhouse
Juuou Mujin no Fafnir,TV,Light novel,12,False,Diomedea
Ristorante Paradiso,TV,Manga,11,False,David Production
SOS TV Walpurgis Night Fever,ONA,Original,11,False,
Dragon Quest: Dai no Daibouken (1991),Movie,Game,1,False,Toei Animation
Smile Precure!,TV,Original,48,False,Toei Animation
Katsugeki/Touken Ranbu,TV,Card game,13,False,ufotable
Hunter x Hunter (2011),TV,Manga,148,False,Madhouse
Lovedol: Lovely Idol OVA,OVA,Unknown,1,False,
Non Non Biyori Repeat,TV,Manga,12,False,Silver Link.
Yagami-kun no Katei no Jijou,OVA,Manga,3,False,Production I.G
Natsume Yuujinchou Go,TV,Manga,11,False,Shuka
Slow Step,OVA,Manga,5,False,
Kijutsushi x Majutsushi: Osaka Tanteibu no Jikenbo,OVA,Unknown,1,False,
Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Special,Manga,1,False,Bandai Namco Pictures
Furyou ni Hamerarete Jusei Suru Kyonyuu Okaasan The Animation,OVA,Visual novel,2,False,
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV,Game,11,False,Lerche
Pulsar,Movie,Unknown,1,False,
